X;ID_unique;Dim.1;Dim.2;Dim.3
169;169;-2,083232809;0,907531751;1,638432731
170;170;0,372021852;0,194704073;2,166786346
171;171;-3,717632606;-2,919185142;2,52240581
172;172;-2,604601464;-0,043628953;2,58085127
173;173;3,181272823;0,960837634;0,071246478
174;174;-2,803530684;0,13730372;1,203025031
175;175;3,220609113;1,366112562;-0,06478251
176;176;1,936867655;2,562832871;1,982885074
177;177;2,761026688;0,398503017;-1,593062439
178;178;3,873001019;1,540492725;-1,029770036
179;179;-0,071427608;0,343026909;0,498273555
180;180;2,119395872;0,800219036;-0,680401573
181;181;1,359602903;1,507287777;1,16449694
182;182;3,757139794;2,470441207;-0,112839695
183;183;-0,709043523;0,67456475;0,905522
184;184;-2,819409435;0,993249044;0,657811604
185;185;-0,404577151;-1,261916977;-0,203466682
186;186;-1,457844953;-0,403440222;1,375971243
187;187;1,653280489;-0,310248539;-0,915981662
188;188;4,037365069;2,104831773;-0,205110158
189;189;1,338384853;-0,792210784;-0,32908799
190;190;2,80446747;1,484718789;2,632351524
191;191;-2,119191252;-1,188417143;1,066333623
192;192;3,234024372;2,396578032;-0,259523205
193;193;0,14251849;0,273106868;1,60563013
194;194;1,891548501;1,460357568;2,13624674
195;195;1,270350893;1,786344642;2,254750069
196;196;-3,258738673;0,114463106;0,872730065
197;197;-3,034543854;0,002249655;0,76284347
198;198;-2,278567668;0,028743683;1,611428706
199;199;-1,656004524;-0,530529294;1,229817097
200;200;1,158012957;1,225892908;-0,227553005
201;201;1,77524675;1,65839126;1,97158628
202;202;-0,312010118;1,750214946;0,282031302
203;203;0,882749446;1,429845893;0,947276484
204;204;-0,701666633;2,644030781;2,567625613
205;205;-1,96837697;-0,698583493;1,561099287
206;206;-1,324645056;0,058627523;1,50276632
207;207;-3,702861162;-0,613963048;6,019443219
208;208;-3,517001685;-0,625111561;0,683475634
209;209;-3,709048102;0,165109936;1,360169734
210;210;1,242807778;2,494769263;3,123483543
211;211;-2,033308873;-0,492812425;1,250538254
212;212;0,244197838;2,370439028;2,325218561
213;213;0,48544235;1,811630293;1,965478419
214;214;1,296979008;0,576217683;1,274429015
215;215;-2,044745088;0,265100868;2,071556265
216;216;-3,078423282;0,150765807;0,519919935
217;217;-1,703029627;-0,011142496;1,415106981
218;218;-2,626668853;-0,918981968;2,589674743
219;219;0,848925759;2,127200464;2,111055075
220;220;-0,93887726;-0,187970983;1,69884624
221;221;1,025365806;0,757167644;0,85096245
222;222;-4,283282699;3,403564711;3,31810793
223;223;0,25864777;1,028662547;1,115685232
224;224;-2,620247422;-0,133539264;1,507168944
225;225;-2,325105012;-1,724181249;3,577362694
226;226;-0,051015108;0,442494465;1,984840077
227;227;1,49547245;2,227517461;2,23069305
228;228;-2,455689827;1,273262854;1,601935639
229;229;-1,719559611;-0,878801119;1,891471614
230;230;-2,014966533;-1,922256819;3,258224539
231;231;0,067313491;0,393375393;1,433901889
232;232;-1,127793432;0,737301069;1,640558331
233;233;-0,413111659;0,584137576;1,531581856
234;234;-0,200351033;1,729356244;1,554464135
235;235;1,709382757;2,164446337;2,379431961
236;236;0,767254546;0,857433667;0,510043601
237;237;-1,721360949;-0,72433919;1,467256922
238;238;0,16972093;-0,464379517;1,928128325
239;239;-1,947743454;-0,620510209;3,296477234
240;240;-0,006855637;-0,65076719;2,125534084
241;241;0,716900569;1,402390677;1,642287076
242;242;-0,915410625;1,26497649;0,99863599
243;243;-0,951460685;1,154202825;1,801939236
244;244;-1,657090878;-0,964779761;1,514610775
245;245;-3,648616353;1,547315416;1,960044955
246;246;-1,611488674;-0,29824724;2,668692278
247;247;-0,159873058;-0,338914018;2,788206488
248;248;-2,184056114;1,159077713;1,85373255
249;249;-1,422943712;2,087226196;2,808608013
250;250;-0,169095434;0,409542928;2,37764776
251;251;-1,622984781;-0,854948086;2,101686225
252;252;-1,333540821;-1,259915472;2,190959693
253;253;-1,114518909;-1,027435253;2,257748574
