X;ID_unique;Dim.1;Dim.2;Dim.3
22923;22923;-0,038164009;0,426257454;0,451516698
22924;22924;0,066149396;0,427745505;0,458747061
22925;22925;0,175679889;0,282858475;0,437021368
22926;22926;-0,25593563;0,417094858;0,314548491
22927;22927;-0,242612047;0,32916695;0,130419954
22928;22928;-0,236597964;0,432551076;-0,061176889
22929;22929;-0,207934329;0,287506224;0,031781673
22930;22930;-0,186060561;0,438930952;0,286021239
22931;22931;-0,469047704;-0,328175877;0,00191244
22932;22932;-0,443094202;-0,216194068;-0,10676862
22933;22933;-0,359022454;-0,100745162;-0,207488519
22934;22934;-0,423266494;0,146791259;-0,091555324
22935;22935;-0,465068297;-0,287574422;-0,048756761
22936;22936;-0,404552483;0,099164509;-0,051064061
22937;22937;-0,206411649;0,359099357;-0,150234666
22938;22938;-0,310111082;-0,176361631;-0,213572602
22939;22939;-0,267457315;0,231118829;-0,388480705
22940;22940;-0,349688197;0,335354058;-0,215542689
22941;22941;-0,388617201;0,308354367;-0,269178965
22942;22942;-0,343805687;0,342455009;-0,237803901
22943;22943;-0,374624881;0,403587386;-0,122207631
22944;22944;-0,346499468;0,082646162;-0,266627651
22945;22945;-0,309880022;0,235174472;-0,238857966
22946;22946;-0,443384414;0,037220376;-0,173866467
22947;22947;-0,464742403;0,025457857;0,070821574
22948;22948;-0,444554341;-0,300584651;0,027616084
22949;22949;-0,503554864;-0,037038266;-0,045559498
22950;22950;-0,378647087;0,081090824;-0,428147943
22951;22951;-0,437741594;0,295104941;0,099381203
22952;22952;-0,429232233;0,033252781;-0,310078424
22953;22953;-0,355447648;0,174601306;-0,121818356
22954;22954;0,007041564;0,436384165;0,468137872
22955;22955;-0,180734838;0,417014066;0,337797075
22956;22956;-0,182626635;0,441552245;0,192491339
22957;22957;-0,357756606;0,416811166;0,150984878
22958;22958;-0,321628374;0,37642811;0,153877988
22959;22959;-0,217102208;0,493257197;0,165069066
22960;22960;-0,035645663;0,367346187;0,489555377
22961;22961;-0,170876644;0,391338182;0,409344671
22962;22962;-0,218994301;0,30429438;0,188746393
22963;22963;-0,208379156;0,412486457;0,233618541
22964;22964;-0,339817931;0,173837074;-0,114075833
22965;22965;-0,405122857;0,242008454;0,028326547
22966;22966;-0,278725976;0,29285227;-0,101091758
22967;22967;-0,437579102;0,157834725;-0,173099271
22968;22968;-0,305839441;0,146124934;-0,44594487
22969;22969;-0,391009543;0,312781421;-0,278440625
22970;22970;-0,276745647;0,372491873;0,265399853
22971;22971;-0,260114136;0,399533658;0,267589455
22972;22972;-0,150375815;0,326283388;0,280099853
22973;22973;-0,24836863;0,470182403;0,261653872
22974;22974;-0,140163434;0,323881469;0,36277756
22975;22975;0,262682125;0,285905697;0,316228948
22976;22976;0,047134303;0,372538868;0,466278373
22977;22977;-0,270735735;0,438673648;0,149556268
22978;22978;-0,0524628;0,366408994;0,469979042
22979;22979;-0,036477632;0,410421074;0,501667914
22980;22980;-0,275650828;0,396166673;0,134588357
22981;22981;-0,123926627;0,314740124;0,455548285
22982;22982;-0,192806097;0,422176679;0,302162954
22983;22983;-0,235286893;0,396286022;0,282597957
22984;22984;-0,072570252;0,430054234;0,323507701
22985;22985;-0,255060957;0,435526838;0,099026162
22986;22986;0,135324254;0,21221822;0,274330595
22987;22987;-0,319258616;0,334288129;0,044901391
22988;22988;-0,104243662;0,342078354;0,310374511
22989;22989;-0,399323592;0,308085928;0,115839432
22990;22990;-0,261090431;0,370520895;-0,194778621
22991;22991;-0,38564487;0,31416933;-0,256561793
22992;22992;-0,330522607;0,220938133;-0,208166078
22993;22993;-0,432484257;0,073983986;-0,259883971
22994;22994;-0,374002926;0,288430421;-0,056183224
22995;22995;-0,361432232;0,175368936;-0,14572223
22996;22996;-0,411088724;0,247399959;-0,295368102
22997;22997;-0,403399857;0,08787412;-0,285521081
22998;22998;-0,506151286;-0,087016553;0,026486376
22999;22999;-0,260022567;-0,113984686;-0,520230919
23000;23000;-0,370212395;0,020763535;-0,419681322
23001;23001;-0,43712284;0,0701348;-0,128380562
23002;23002;-0,506771868;-0,126730196;-0,005819604
23003;23003;-0,500209571;-0,229959854;-0,02189673
23004;23004;-0,499015758;-0,085045213;-0,015158034
23005;23005;-0,266346729;0,389953872;0,167729549
23006;23006;-0,269484271;0,287441144;0,17506258
23007;23007;-0,071121776;0,330619844;0,250123319
23008;23008;-0,11733091;0,492963858;0,219272917
23009;23009;0,037839921;0,259452302;0,398332505
23010;23010;-0,132938124;0,43155234;0,33464527
23011;23011;-0,224363671;0,426231644;0,315584367
23012;23012;-0,241061654;0,411288934;0,333368413
23013;23013;-0,021804704;0,411626345;0,473162026
23014;23014;-0,420779367;-0,074506613;-0,234773232
23015;23015;-0,446195852;0,3060146;0,028521698
23016;23016;-0,332185707;0,297630186;-0,396570338
23017;23017;-0,382498059;0,246057714;-0,348407615
23018;23018;-0,459321666;0,158187296;-0,223724991
23019;23019;-0,374217601;0,11309691;-0,05474147
23020;23020;-0,314827006;0,508948883;-0,086437531
23021;23021;-0,319722629;0,453283743;0,021493765
23022;23022;-0,283013398;0,49894465;0,197421527
23023;23023;-0,246756698;0,361945995;0,109454413
23024;23024;-0,265259653;0,446933644;0,192108886
23025;23025;-0,24891771;0,440091103;0,186315575
23026;23026;-0,009302423;0,429691738;0,446487227
23027;23027;-0,056332824;0,408303272;0,482147041
23028;23028;-0,301399509;0,419489804;0,043738896
23029;23029;0,060006879;0,41902022;0,470664056
23030;23030;-0,18240977;0,470158346;0,290976048
23031;23031;0,134405109;0,601117149;0,252141829
23032;23032;0,269963484;0,456941118;0,286742552
23033;23033;0,124138283;0,433432897;0,38278309
23034;23034;-0,132992231;0,438039211;0,316505694
23035;23035;-0,295862709;0,390849206;0,253707079
23036;23036;-0,464440807;0,221918492;-0,030924053
23037;23037;-0,407381151;-0,095331532;-0,044133375
23038;23038;-0,398925718;0,147256781;-0,243553059
23039;23039;-0,396853177;0,278421575;-0,257807093
23040;23040;-0,290314464;0,398118282;0,043274373
23041;23041;-0,247955148;0,431891839;-0,013441526
23042;23042;-0,250522385;0,408450376;0,269842455
23043;23043;0,123611348;0,437230807;0,32191041
23044;23044;-0,293478838;0,410059013;0,279299335
23045;23045;-0,420337611;0,358582706;0,027127997
23046;23046;-0,093501079;0,452527525;0,283146314
23047;23047;-0,307556029;0,152399863;-0,121968746
23048;23048;-0,41965869;0,132503496;0,084047518
23049;23049;-0,399155954;-0,010511561;0,072772573
23050;23050;-0,379799956;-0,212979222;-0,031916746
23051;23051;-0,39618153;0,028532255;-0,022273056
23052;23052;-0,47469919;0,166885291;0,110685493
23053;23053;-0,471929013;0,046314778;-0,21065259
23054;23054;-0,285655088;-0,128103375;-0,027048762
23055;23055;-0,422666119;0,244584263;0,162612536
23056;23056;-0,351921706;0,442043565;-0,256146916
23057;23057;-0,193401846;0,454445785;-0,136443322
23058;23058;-0,117922991;0,40866196;0,341821564
23059;23059;0,10265303;0,452768785;0,402656318
23060;23060;-0,064647382;0,373230064;0,177226477
23061;23061;0,106218307;0,372111233;0,41632679
23062;23062;-0,146205567;0,467275687;0,32032174
23063;23063;0,130094275;0,461870857;0,187634719
23064;23064;0,130557036;0,511279142;0,290885397
23065;23065;-0,095763379;0,414365194;0,279707764
23066;23066;0,06000897;0,380476769;0,343388664
23067;23067;-0,188680915;0,388923576;0,359311583
23068;23068;-0,299117158;0,420787332;0,272174487
23069;23069;-0,116159355;0,450907926;0,283432627
23070;23070;0,021505284;0,483448794;0,294893085
23071;23071;-0,137210018;0,454113886;0,332292527
23072;23072;-0,052258714;0,481527892;0,291056659
23073;23073;-0,049862316;0,45999485;0,256231936
23074;23074;-0,13423745;0,513361019;0,073347765
23075;23075;-0,43207162;0,114888101;-0,093867054
23076;23076;-0,290959088;0,385385174;0,081295083
23077;23077;-0,433362114;0,147921629;0,118834363
23078;23078;-0,388975473;-0,165003709;0,014442087
23079;23079;-0,394332112;-0,084581837;-0,06386543
23080;23080;-0,31647663;0,366865482;0,001064246
23081;23081;-0,34165593;-0,248036399;-0,158275324
23082;23082;-0,39756082;0,22745131;-0,161352568
23083;23083;-0,443814943;0,205957721;-0,177428953
23084;23084;-0,388855377;0,235038861;-0,115024905
23085;23085;-0,367278465;0,256576984;-0,188132118
23086;23086;-0,417434126;0,321968226;-0,0882878
23087;23087;0,115255369;0,378705152;0,373212924
23088;23088;0,123562011;0,295361425;0,340285099
23089;23089;-0,202199776;0,309522132;0,444448114
23090;23090;-0,263441225;0,372718812;0,190418943
23091;23091;0,085470096;0,33204918;0,45639224
23092;23092;-0,140518303;0,349661956;0,342914951
23093;23093;-0,236730361;0,406238001;0,295924654
23094;23094;0,072031609;0,445289143;0,418636275
23095;23095;0,110783661;0,541738062;0,214412693
23096;23096;-0,142769244;0,397489514;0,213833078
23097;23097;0,084710231;0,33976203;0,453275782
23098;23098;-0,031297213;0,486125255;0,216425031
23099;23099;-0,043143805;0,450999392;0,361400509
23100;23100;0,100855755;0,46782847;0,381985571
23101;23101;-0,030005492;0,370446811;0,252639875
